movie_title,imdb_id,duration,language,country,release_date,release_country,budget,genres,title_year,num_voted_users,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,actor_4_name,actor_4_facebook_likes,movie_trailer_views,movie_trailer_likes,movie_trailer_unlikes,production,imdb_score
Powder Room,tt2608726,86,English,UK,06 Dec 2013,release_countrytt2608726,budget,Comedy,2013,632,M.J. Delaney,54,null,8530,null,8530,null,8530,null,8530,28235,43,7,DJ Films,5
Dark Secrets,tt0116031,91,English,USA,12 Mar 1996,release_countrytt0116031,budget,Drama,1996,131,John T. Bone,0,null,8530,null,8530,null,8530,null,8530,2262,47,0,Ardustry Home Entertainment,5
Dark Mirror,tt0486651,86,English,USA,27 Jul 2007,release_countrytt0486651,budget,Horror| Thriller,2007,1182,Pablo Proenza,0,null,8530,null,8530,null,8530,null,8530,367189,257,14,IFC Films,5
Algorithm,tt3293462,91,English,USA,19 Jul 2014,release_countrytt3293462,budget,Crime| Drama| Thriller,2014,707,Jon Schiefer,0,null,8530,null,8530,null,8530,null,8530,6747,89,0,First Run Features,5
The Perfect Sleep,tt0435716,99,English,USA,13 Mar 2009,release_countrytt0435716,budget,Action| Drama| Romance,2009,1032,Jeremy Alter,327,null,8530,null,8530,null,8530,null,8530,334786,104,29,Cinema Epoch,5
The Speak,tt1656197,83,English,USA,01 Oct 2011,release_countrytt1656197,budget,Horror,2011,371,Anthony Pierce,10469,null,8530,null,8530,null,8530,null,8530,34411,26,6,N/A,5
The Year of Getting to Know Us,tt0924134,90,English,USA,24 Jan 2008,release_countrytt0924134,budget,Comedy| Drama,2008,804,Patrick Sisam,0,null,8530,null,8530,null,8530,null,8530,7590,26,2,Entertainment One,5
Steal Big Steal Little,tt0114536,135,English,USA,29 Sep 1995,release_countrytt0114536,budget,Comedy,1995,832,Andrew Davis,2430,null,8530,null,8530,null,8530,null,8530,0,0,0,HBO Video,5
Final Impact,tt0104267,99,English,USA,07 Feb 1992,release_countrytt0104267,budget,Action| Drama,1992,390,Joseph Merhi| Stephen Smoke,16014,null,8530,null,8530,null,8530,null,8530,10084,12,0,PM Entertainment Group,5
The Box,tt0928188,87,English,USA,27 Sep 2007,release_countrytt0928188,budget,Crime| Thriller,2007,408,A.J. Kparr,0,null,8530,null,8530,null,8530,null,8530,2981864,4792,444,Codeblack Entertainment,5
The Kate Logan Affair,tt1744793,85,English| French,Canada,05 Aug 2011,release_countrytt1744793,budget,Drama| Thriller,2010,530,Noël Mitrani,19,null,8530,null,8530,null,8530,null,8530,15105,0,0,N/A,5
Intern,tt0202989,90,English,USA,21 Jan 2000,release_countrytt0202989,budget,Comedy,2000,531,Michael Lange,987,null,8530,null,8530,null,8530,null,8530,7833020,17234,1073,York,5
Once Upon a Time in Mumbai Dobaara!,tt1891884,160,Hindi| Marathi| English,India,15 Aug 2013,release_countrytt1891884,budget,Action| Crime| Drama,2013,5709,Milan Luthria,2751,null,8530,null,8530,null,8530,null,8530,0,0,0,B4U Films,5
The Comedian*s Guide to Survival,tt4871018,96,English,UK,28 Oct 2016,release_countrytt4871018,budget,Comedy,2016,195,Mark Murphy,49780,null,8530,null,8530,null,8530,null,8530,418,1,0,N/A,5
